reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOEito_ps2PJsih6PrHkYUoA5Oa_N2IQ2Z8ngt-PRORg1xnobq_2W9tTf68K8pZsq3GC5rvfwD5VscKs4A,Feng Yu,https://play-lh.googleusercontent.com/a-/AOh14GiczC_-pjNPnor4jYHNVv0BzZKbd5WvpSW686hDDA,"I had an any.do account and could not add a new email to any.do via the app. Update 1: The developer responded that I should look at their website on how to do this. If I have to read their how-to to update the password to the account the app is connected to, it's too hard. Update 2: The developer responded again saying I can select Google, Facebook when set up any.do intially. I could not update my password via the app, so the app lost sync with the account.",1,9,5.6.0.8,15/11/2020 14:36,"Please contact us at- www.any.do/contact_form, with the account's details, and we'll be happy to help with instructions.",17/11/2020 09:26,most_relevant,com.anydo
gp:AOqpTOHHPWHi4ApfKhljWt40YOk-yjC1CnWjQDL4jZlDNx2TgSPnLwkiVvwJmGgZhmb195Va6HpzH2MGM3vZJA,Timothy Coon,https://play-lh.googleusercontent.com/a-/AOh14Gh4km5k9hn8QuhsYMrya6jNXrhll4fJAvStIfOIcA,"Too archaic. It seems like this might have been a good app in the beginnings phases, but slowly turned into this monstrosity that is put together about as well as a teenager's bedroom.",1,2,5.7.0.20,30/12/2020 22:40,"Sorry you feel this way. Any.do is a minimalist task manager, which reflects in our design and functionality. We recommend learning more about the app and all the features here- https://support.any.do. If you have any questions, please let us know here- https://www.any.do/contact_form, and we will gladly assist!",31/12/2020 20:33,most_relevant,com.anydo
gp:AOqpTOGaBNQkWCSciaAVgfI4L6gap3xCjGPWYPE-7Kgo1FyCKnn0P_FtQvs3llAww_vYhlguNyFMS8hCMirLjg,Lynette White,https://play-lh.googleusercontent.com/-rbzB_SzdhHc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnegmW2kmEewzNxwOFIV0r3Jsi8og/photo.jpg,"I HATE whatever changes were made in the last 6 months or so!!! I LOVED it before the changes! The changes are when you are typing in your reminder, with a date and/or time it takes it OUT of your reminder and put the reminder on that date!!!",1,17,5.7.0.10,23/11/2020 01:32,"Please note that you can disable the Smart Type detected reminder, by tapping on the highlighted time. That said, an update with a fix for this will be released to beta in one of the upcoming version updates :) To learn more see: support.any.do/super-users. The fix will then be released to all standard users as well.",25/11/2020 13:33,most_relevant,com.anydo
gp:AOqpTOHvVf9TzlDivh5HJBJQbjKxojOUCJwmy0FYMU8ZgTIuHPTbiRta5mnOQa69e0YNS1rgEx92D-62YudgIw,Vasudevan Sridharan,https://play-lh.googleusercontent.com/-3RgK9mlFrhY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclABHeMr4pxVqIRaNF9Ev2T3XTIuQ/photo.jpg,It seems they are not quality testing their recent updates for bugs. Lots of issues coming up. Seriously thinking of shifting to another tasks app. It will take some efforts on my side but looks like no choice.,1,7,5.7.0.10,05/12/2020 12:24,"Hi Vasudevan , Please note that we thoroughly test the app, to make sure that we release the best app for our users! From checking our records, we can see that the bug you've reported is currently under the review of our Dev Team. Please be assured that we will keep you updated as soon as we have more information!",08/12/2020 12:42,most_relevant,com.anydo
gp:AOqpTOH-vlrtfNZEnw3Kjz6q5Z27z1GKwAuVx_qVDfojljCBcScMqjNaiChrdVgrSWi-ljY83wmrUYt5hYYqFw,Stacie Grimes,https://play-lh.googleusercontent.com/a-/AOh14GiIhu8n2AhgZAupoDT8WpG3wZz8Ch5i9A0M7mvh,The app works well at times but I've been charged multiple times in the same week for the yearly subscription. I've attempted to get a refund but have not heard back from them.,1,3,5.6.0.8,09/11/2020 03:59,"Please note that you may cancel your subscription plan, in accordance with our TOS, per the instructions on our Help Center- https://support.any.do/cancellations-refunds/. That said, if you have already contacted our Support Team, we will be sure to get back to you as soon as possible to sort this out.",11/11/2020 09:37,most_relevant,com.anydo
gp:AOqpTOE-5JHxbALxwm7GcfrPqDcDJZbmoEGKqMbLlCLyZUw22r_v6vYFSfRWYru8girZnn90X2Ztvkjhtya56g,Isak Brevik,https://play-lh.googleusercontent.com/a-/AOh14Gg9Spuq0GX_u8qMBmLhnbe707S7KQYdgUKSRp6DNA,Terrible! Dont relie on this app. I had an assignment for school that I had to to deliver. I set a time in the app but it didn't notify me and I was late on my assignment because of that. Use something else!!,1,2,5.7.0.10,03/12/2020 08:09,"It sounds like there might have been an issue with your device allowing the app to send notifications properly. Please uninstall and reinstall the app's latest version from Google Play. If you're still experiencing any issue, kindly submit a bug report via Settings - Support so our team can look into this for you.",03/12/2020 20:54,most_relevant,com.anydo
gp:AOqpTOF1ISTaB6fabqd-BBTcfMYhqIsIFPl2KwusSEjlNYD6WB2Su3H1St2VRBBtt-m6OKffo0gY3QzZVj2YJg,DÅ¾iugas PeÄiuleviÄius,https://play-lh.googleusercontent.com/a-/AOh14GiIYuz59llngFlxyM4vQaHnrYsYM1koB0y2TcfKdQ,This application is pretty much worthless if not paid for. Doesn't even let you change your theme on the free version. Better stick with todoist or other similar apps,1,8,5.7.0.10,21/11/2020 16:28,"90% of the app is completely free, including all core functionality! We will shortly be releasing the dark theme to the Free standard version of the app, so all of users can enjoy it! For any questions kindly contact us here- https://www.any.do/contact_form.",24/11/2020 12:13,most_relevant,com.anydo
gp:AOqpTOGLLCMKVho9BpodOvYZkBEtx-Mwn8D8vkw0VIhxmsIo84XfZWzeURCf6gUN_dAZBzweGB2Ndu6qMw8GIg,Daniel Gonsoulin,https://play-lh.googleusercontent.com/a-/AOh14GhHlUx-6ZAPY_HGtEmArcnIkYTj6_4LJlqiszaLdQ,"Too complicated. Had one day, three day and week view, no monthly view.",1,0,5.7.0.10,18/11/2020 18:04,"Any.doâ€™s Calendar View can display your calendar in one of four viewing options (agenda/ weekly/ 3 days/ a single day). You can browse your monthly calendar by opening the monthly spread, simply tap on the month's title from the top of your screen (support.any.do/calendar-view). For further questions, please contact us at- www.any.do/contact_form.",22/11/2020 10:37,most_relevant,com.anydo
gp:AOqpTOGa7dMUZFe3vcPCEUPz1Y7Olns0KV28ljUiHvXhnO_5Hge8NiY1P5aqgvHq0TMo3IEEm-UWPbUhWwfAMQ,moss moss,https://play-lh.googleusercontent.com/-tJ0G2K08sPU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmvhSnZs4zzs99rDD7m0KxWMx23YA/photo.jpg,Impossible to cancel. Beware before you take their 7 day free option giving your credit card details,1,0,5.6.0.8,17/11/2020 09:31,"A payment can only be made upon the user's authorization. We offer a 7 days free trial, with additional 48 hours for a refund. Afterwards, the subscription plan is charged, per our TOS, as shown by Google Play. You can cancel the subscription as instructed - support.any.do/cancellations-refunds. For assistance contact us at www.any.do/contact_form.",19/11/2020 09:49,most_relevant,com.anydo
gp:AOqpTOEU8IXkVHz56v_XBuPwsIOqZlDmHLk3JBjWGX0BdXqBWnJcIcJcADhKaDVxekKHu-7f8g_O1U0MI4PrOg,charles bartusch,https://play-lh.googleusercontent.com/-Ic245kY-3D0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckBJxD2UuhqhqjV8vd7ks_TX4KFDg/photo.jpg,I loved this app however now it doesn't connect to Alexa lists anymore,1,0,5.7.0.20,12/12/2020 15:14,"Hi, we sync with Alexa, as explained on our Help Center here- https://support.any.do/alexa-skill/. If you're experiencing any issue, kindly contact us at- https://www.any.do/contact_form, and we will be happy to look into it for you.",16/12/2020 22:16,most_relevant,com.anydo
gp:AOqpTOGXeLejOdAcPeyNAmYubQ3hhyU0O5ErPeaCGi8755CfH6VdtKgn27K3Sx-7jbyq7MxCv3oP60mp1ogGYg,Steff Cee,https://play-lh.googleusercontent.com/a-/AOh14GhuPxWPKG32rVYmEQRFn9jjh2R7xFQmSOuVF0di,Wont add people to tasks!!! Wanted to delete a sub task and it deleted the entire to do list. ANNOYING,1,0,5.7.0.10,23/12/2020 06:39,"You may add users to tasks, per the instructions provided on our Help Center at- support.any.do/sharing-lists-and-tasks. Please note that sub-tasks are saved under a task, and may be deleted from the Task Menu, however, this action should not affect the list. Kindly submit a bug report from your app Settings- Support, so we can further assist!",23/12/2020 19:47,most_relevant,com.anydo
gp:AOqpTOHxzGwUOSZYfSYcMuz_HZRQusGL7q6ygylUMBaySelHGkfzcPYfDprM6shtJt6sGuTwlCGGC5bwAzOgLQ,avinash soni,https://play-lh.googleusercontent.com/a-/AOh14GjNaVcN1P7i4JI1XyKtWqMDzxpvO4HEYVrbu0mx,To expensive and even not able to delete account after setting password it says wrong password,1,0,5.7.0.10,27/11/2020 04:48,"90% of the Any.do app is completely free, and our prices are per the industry standards. You may delete your profile from your Any.do app Settings- tap â€œProfileâ€ under Account- and then select â€œDelete Account"". Note that account deletion is irreversible. For any questions or assistance, contact us at- www.any.do/contact_form.",29/11/2020 14:59,most_relevant,com.anydo
gp:AOqpTOEA0ubPA5n0s_6lg0BHqfQqj0gi-KIdZF_I1yZSAWSG99_sh26f4jfDlXPVJ_KIrJGtRX93nRwYcehR4Q,Lisa Pappas,https://play-lh.googleusercontent.com/a-/AOh14GjEqJJjp5Ks1yIvHZF4MNbnZ4McrkmSFbWSHHqCx9U,"Constant crashing. After reading all the negative reviews, I Uninstalled it from all my devices. **Canceled subscription. App was great, until it crashed. After spending more than a hour setting it up on my Samsung tablet, it will not run. Cannot even get it to start. Too bad. In the past, my experiences have been good with this app. Guess I will see how long it takes to crash on my cell phone. So much for multi-device sync. Such a disappointment. **see above, for new comment added.",1,25,5.6.0.6,21/10/2020 17:45,,,most_relevant,com.anydo
gp:AOqpTOFpQSQCk0lwBrYmrxoTwDjnb2avnuepwrphGcMXiH2xIfBEMQuCuuBKaUta6QfW52dNebGgGjX7Y3vzSg,Harold Young II,https://play-lh.googleusercontent.com/a-/AOh14Gj40EbN92JexsKMEaYlRJ2CdXCUG_io-Qj6ZZy8vg,Too many bugs. Cannot change hours for reminder is the biggest,1,0,5.6.0.8,11/11/2020 05:02,"Please note that in order to change the reminder time, you can simply delete and and re-add the relevant reminder. For more instructions, please visit our Help Center here- support.any.do/reminders. If you're experiencing any other issues, kindly submit a bug report via Settings - Support, so our team can look into this for you.",11/11/2020 10:16,most_relevant,com.anydo
gp:AOqpTOGHb-APKKMNFyL1OwuGq1AGW6bQp5aYYxSHvJxFL6ur8n__5GqPwFPNb10urenFAS-p4fxP4490-COB8A,Gale W,https://play-lh.googleusercontent.com/a-/AOh14GgZuh05SN1HwBhxQRWLcGY36N1xKg3m_ABR5tJV3g,"I'm only looking for a grocery list app but every time I tap away from the app I have to tap again (after opening it again) to see the list. I can't find a way to keep a certain list showing when I open or reopen the app. eta: in response to the reply, it doesn't work like that on my phone. Even if the grocery list is showing, when I open another app and then go back to the any.do app, the list of lists is showing and I have to retap to get the grocery list to show again.",1,5,5.6.0.6,25/10/2020 18:10,"Sorry about that. We are not aware of any issues with display of Grocey lists. Kindly contact us at- https://www.any.do/contact_form, with any relevant information (as explained here- https://support.any.do/sending-files-to-support/), and we will be happy to look into it for you.",26/10/2020 09:23,most_relevant,com.anydo
gp:AOqpTOGhhnTVfc7Fa_upEz0H5co4BmSUtCI2AOBHe5QhlU2AnbErub8Upx2twgKLaQ060gsD2UarowaejRcgcA,Kodi Ham,https://play-lh.googleusercontent.com/-ae8TByAxI6k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckVppcWuTnD0BxD8sJGO0RGsVmc1Q/photo.jpg,"I have used this app for years, today went in and it asked me to log in (two devices). When I did all my data was gone!!!!!!",1,0,5.6.0.7,04/01/2021 08:43,"This sound odd! Please make sure you logged in to your old account. If not, please log out and log back in with the same account credentials. If you are still experiencing issues, please contact us at https://www.any.do/contact_form so we can look into it for you.",06/01/2021 13:36,most_relevant,com.anydo
gp:AOqpTOHB6-9UnF_GWUDr3szAVvXyvUp1OxNxBenTjogfnX3fTUPIHI3Wkt93WK8JmBrlHONziiOpMedOlhEcGQ,Colleen Wallace,https://play-lh.googleusercontent.com/a-/AOh14Gjzgko2X-Xhga-DM0zJwMhRq3Aen7bl-IFJbqgkYQ,"Update ruined app Last update re-formatted the ""Plan My Day"" function so the ability to schedule tasks for that day or postpone into the future is unusable, so I have 50+ tasks and to way to arrange them into a comprehensive order. Contacted the developer who emailed me back after 4 days asking for a screenshot of the problem, so I sent it right back. 3 days later - no response from the developer, no fix, nothing. Update9/8: no fix, moved to aCalTasks +",1,61,5.4.0.6,07/09/2020 19:02,"We are doing all we can to respond to all of our users as quickly as possible and provide a seamless experience. Unfortunately, sometimes there are issues with specific features on specific devices. As soon as we could understand the issue we passed it to our Dev Team which is already working on a solution that will be released soon. We are sorry.",08/09/2020 07:58,most_relevant,com.anydo
gp:AOqpTOH9y0mrXUuqulfB_d48QIXYJet79OMMr8jzm851LJcPPk9wpcsJNAhuks49vXw2BmPFOenEZh8WzB4VxA,John Oswald-Jacobs,https://play-lh.googleusercontent.com/-jB1fuDTzUMM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckqDkonxXNAT-GhQN6j-ilvesezgQ/photo.jpg,"Hopeless customer service. I paid for the premium version, had a problem with its sharing function, emailed customer support for a solution, was told it would take 2 business days for a response (which was hopeless enough), now over 5 business days later I've not received a response.",1,98,5.6.0.1,26/09/2020 07:30,"Sorry for the delay in reply! Due to adjusted work schedules at this time, we are currently experiencing longer than usual reply times. Our Support Team will be sure to reply as soon as possible! Thank you for your understanding :)",27/09/2020 10:50,most_relevant,com.anydo
gp:AOqpTOFZRTvOOvkhQFYxFpATV-0sWsRX2iY2y_w0mfV9qFC-1q4HHWyjEbOner21GdBU809gZyd30j_pa9ckNQ,Sarah Schlesinger,https://play-lh.googleusercontent.com/a-/AOh14Gg6fwxJSFkSIk27Qh7_C-t7ENrWJuTQqZz92ZBCOg,"This app met my needs until this latest update. Dislike the new format to such a degree that it's a dealbreaker. Now I have to start from scratch researching apps to find a replacement. I know, I used the free version so you don't care if I go but this is such a disappointment.",1,24,5.4.0.6,21/08/2020 03:55,I am sorry you feel this way! We love feedback and we will greatly appreciate if you could send us detailed feedback at https://www.any.do/contact_form :),24/08/2020 10:28,most_relevant,com.anydo
gp:AOqpTOF20Qx0SGYiFEhKMSCWsc1QrCC-7mmeB8jND5UO3L2NjkKF3zMX68CAQmYMuXKCYkue-oTWDtmyyytuYQ,Caroline Dennis,https://play-lh.googleusercontent.com/-B8PoaV14yyA/AAAAAAAAAAI/AAAAAAAACgI/AMZuucnEz8JUsp6YcaL0MoGy9vif4pTkhw/photo.jpg,Does not do much different than Google tasks (which is easier to use and is free). As a result I wanted a refund as I only realized this after my 7 day trial. Refunds are only given within 24 hours of their drawing their fee. Not sure that is legal for an automatic subscription after app trial.,1,18,5.4.0.6,22/08/2020 00:02,"Our 7 day trial allows free users to give Premium a try before committing. If a user doesn't cancel the subscription to notify Any.do that he doesn't want to keep Premium features, the subscription will automatically renew into a yearly subscription as stated on the upgrading screen. We offer refunds within 48 hours from the payment date.",25/08/2020 07:28,most_relevant,com.anydo
gp:AOqpTOFUz9gdtUGHQgnEqKlp-jzSu67UKSApozcaV1rHrqjetWGWWNZaD27BTsF5CrwLG5Y0P6ndBKcx67J7aQ,Greg Hahn,https://play-lh.googleusercontent.com/-M3C0pg3rY8o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucndB2nUZkQRQVWBIJA8X8Bm0Ha5ZQ/photo.jpg,"Does not do weekly reminders correctly. I opened a bug report, and was told that it was a known bug. A reminder app that gets reminders at the wrong time is a big 'no' from me.",1,4,5.4.0.6,07/09/2020 04:18,"We are sorry for that Greg, please understand that our team is constantly working to provide the best possible app. Sometimes there are bugs as our team members are human. In those times I can ensure you that they work as fast as they can to fix those issues and provide the best experience to all our users.",07/09/2020 11:24,most_relevant,com.anydo
gp:AOqpTOG_s5DxUI0ZMn_J0qc_X9sBWy0M0e0NFyJRl-aIj-4U99nn8W4OJcCjUU99E3cGK9rnxrL53x9mbmgzEA,Eric Cox,https://play-lh.googleusercontent.com/a-/AOh14Gjj4Q--QcU9ikJqNeej941swhVEU4K350m4zmrEFQ,"This new layout is just awful. Just ridiculously awful. I cannot in any way fathom how this got a thumbs up from anybody. Bye bye Any.do, I'm off to download something that wasn't designed by a nine year old.",1,3,5.4.0.6,19/08/2020 02:23,Sorry to hear that Eric. Would you mind sharing what you don't like about the new design?,19/08/2020 06:36,most_relevant,com.anydo
gp:AOqpTOGdYhsrB-9I5Yv1cAGUS_QYwrsPNvATqprqWb4Vv3InRMUepNuz-imVfGivOq4WzKXYuccCyJ8ypRZRJw,Bryan Simrak,https://play-lh.googleusercontent.com/a-/AOh14GiFKmnWuLZHijq1YyuU3Z4hgd-TOJZJNTwtIRmm1w,"Overrides your OS settings to place pop-ups over other apps - yes, even with notifications and overlay off in settings and blocked in OS.",1,0,5.6.0.7,28/10/2020 13:14,"While we hope that you are using Any.do to stay on top of your important tasks, you can disable any notifications you don't like from the app. In case you don't wish to receive any reminders, you can turn these off from the app, and simply have due dates for tasks without any notification. For any questions, contact us at www.any.do/contact_form",01/11/2020 09:15,most_relevant,com.anydo
gp:AOqpTOFtaevt1hmnXk0aPdFseRhFSF0yPxcJkby9BuYK4t5vvoBnqPz0xxeJRX1HoeMuaNUpeHGt149a1eb8YA,Ryan Gould,https://play-lh.googleusercontent.com/a-/AOh14GiPSgyVFmI14tWwX3Eo_a_srHOL8aXOvFGzhjpdTg,Was great but can't connect with other people since last update. Invite will go out and will even receive the invitation but doesn't link and have had no luck with customer support,1,3,5.4.0.6,10/09/2020 13:29,We are sorry for that. Please reach us at https://www.any.do/contact_form so we could look into that again and solve it ASAP!,13/09/2020 06:07,most_relevant,com.anydo
gp:AOqpTOH1ZorKk-tQkAaJ5rawp-UmTlMsdXju-Fy-s-vrOJm3eVFx31vXINfRvSvJEuZLBWy0B3kty_X45AgLqg,Lindsay Peterson,https://play-lh.googleusercontent.com/a-/AOh14GjYkTEz_R8aXYUSMhI6Cj2AbkVkdW6976QifnSa1w,Worked great for a few years and then the past couple of months it eats anything added to the list! I can sit and watch things drop off before my very eyes!,1,29,5.4.0.6,14/08/2020 12:23,This sounds very odd! Please reach out at https://www.any.do/contact_form so we could further assist you in resolving the issue :),16/08/2020 07:54,most_relevant,com.anydo
